danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,id,uri,track_href,analysis_url,duration_ms,time_signature,cluster
0.75,0.662,7,-6.142,1,0.239,0.56,0.0,0.133,0.533,123.949,audio_features,50mQStZYV5QFgyGK9GOVZg,spotify:track:50mQStZYV5QFgyGK9GOVZg,https://api.spotify.com/v1/tracks/50mQStZYV5QFgyGK9GOVZg,https://api.spotify.com/v1/audio-analysis/50mQStZYV5QFgyGK9GOVZg,263647,4,3
0.655,0.797,2,-4.787,1,0.153,0.198,0.0,0.067,0.839,177.928,audio_features,6habFhsOp2NvshLv26DqMb,spotify:track:6habFhsOp2NvshLv26DqMb,https://api.spotify.com/v1/tracks/6habFhsOp2NvshLv26DqMb,https://api.spotify.com/v1/audio-analysis/6habFhsOp2NvshLv26DqMb,229360,4,0
0.766,0.8,1,-6.062,0,0.0938,0.16,1.6e-05,0.0744,0.635,129.999,audio_features,05Mp2UJulSttxQ4E6hQPH3,spotify:track:05Mp2UJulSttxQ4E6hQPH3,https://api.spotify.com/v1/tracks/05Mp2UJulSttxQ4E6hQPH3,https://api.spotify.com/v1/audio-analysis/05Mp2UJulSttxQ4E6hQPH3,188504,4,5
0.874,0.487,2,-8.154,1,0.0641,0.393,2.96e-05,0.0524,0.746,144.956,audio_features,2hIY4sjfMeKwXXh2LvhrMo,spotify:track:2hIY4sjfMeKwXXh2LvhrMo,https://api.spotify.com/v1/tracks/2hIY4sjfMeKwXXh2LvhrMo,https://api.spotify.com/v1/audio-analysis/2hIY4sjfMeKwXXh2LvhrMo,203630,4,0
0.647,0.8,7,-5.384,1,0.165,0.0647,0.0,0.334,0.942,160.078,audio_features,0cqRj7pUJDkTCEsJkx8snD,spotify:track:0cqRj7pUJDkTCEsJkx8snD,https://api.spotify.com/v1/tracks/0cqRj7pUJDkTCEsJkx8snD,https://api.spotify.com/v1/audio-analysis/0cqRj7pUJDkTCEsJkx8snD,219200,4,0
0.563,0.572,2,-6.132,1,0.423,0.0651,0.0,0.0877,0.16,88.743,audio_features,0mNWBN7udBbA3ZtkB80TPM,spotify:track:0mNWBN7udBbA3ZtkB80TPM,https://api.spotify.com/v1/tracks/0mNWBN7udBbA3ZtkB80TPM,https://api.spotify.com/v1/audio-analysis/0mNWBN7udBbA3ZtkB80TPM,165680,5,3
0.878,0.668,8,-6.627,0,0.0546,0.201,4.29e-05,0.077,0.587,125.962,audio_features,6KD5ZksRojNTSHlRRLIpor,spotify:track:6KD5ZksRojNTSHlRRLIpor,https://api.spotify.com/v1/tracks/6KD5ZksRojNTSHlRRLIpor,https://api.spotify.com/v1/audio-analysis/6KD5ZksRojNTSHlRRLIpor,131840,4,5
0.777,0.578,4,-7.497,0,0.112,0.133,0.0,0.167,0.445,137.07,audio_features,3plgMV8SGOfWFOALXY09vF,spotify:track:3plgMV8SGOfWFOALXY09vF,https://api.spotify.com/v1/tracks/3plgMV8SGOfWFOALXY09vF,https://api.spotify.com/v1/audio-analysis/3plgMV8SGOfWFOALXY09vF,159836,4,5
0.743,0.752,4,-4.813,1,0.0414,0.0188,0.0,0.287,0.545,110.015,audio_features,1XGmzt0PVuFgQYYnV2It7A,spotify:track:1XGmzt0PVuFgQYYnV2It7A,https://api.spotify.com/v1/tracks/1XGmzt0PVuFgQYYnV2It7A,https://api.spotify.com/v1/audio-analysis/1XGmzt0PVuFgQYYnV2It7A,231173,4,0
0.916,0.583,1,-8.067,1,0.241,0.186,0.0,0.0798,0.661,141.095,audio_features,2FDTHlrBguDzQkp7PVj16Q,spotify:track:2FDTHlrBguDzQkp7PVj16Q,https://api.spotify.com/v1/tracks/2FDTHlrBguDzQkp7PVj16Q,https://api.spotify.com/v1/audio-analysis/2FDTHlrBguDzQkp7PVj16Q,226383,4,3
0.564,0.71,11,-4.92,0,0.0461,0.00125,0.0,0.109,0.393,91.972,audio_features,6O20JhBJPePEkBdrB5sqRx,spotify:track:6O20JhBJPePEkBdrB5sqRx,https://api.spotify.com/v1/tracks/6O20JhBJPePEkBdrB5sqRx,https://api.spotify.com/v1/audio-analysis/6O20JhBJPePEkBdrB5sqRx,225147,4,5
0.602,0.526,11,-8.748,1,0.401,0.147,0.0,0.0874,0.512,72.661,audio_features,7BkH7723qQS16zB4MFVxPL,spotify:track:7BkH7723qQS16zB4MFVxPL,https://api.spotify.com/v1/tracks/7BkH7723qQS16zB4MFVxPL,https://api.spotify.com/v1/audio-analysis/7BkH7723qQS16zB4MFVxPL,134480,3,3
0.59,0.797,4,-4.901,0,0.0614,0.132,0.0,0.0846,0.425,94.948,audio_features,61uyGDPJ06MkxJtHgPmuyO,spotify:track:61uyGDPJ06MkxJtHgPmuyO,https://api.spotify.com/v1/tracks/61uyGDPJ06MkxJtHgPmuyO,https://api.spotify.com/v1/audio-analysis/61uyGDPJ06MkxJtHgPmuyO,208120,4,5
0.765,0.523,2,-4.333,1,0.03,0.184,3.56e-05,0.132,0.394,104.988,audio_features,1rfofaqEpACxVEHIZBJe6W,spotify:track:1rfofaqEpACxVEHIZBJe6W,https://api.spotify.com/v1/tracks/1rfofaqEpACxVEHIZBJe6W,https://api.spotify.com/v1/audio-analysis/1rfofaqEpACxVEHIZBJe6W,217307,4,0
0.554,0.848,5,-4.075,0,0.0745,0.00237,0.0,0.185,0.286,144.996,audio_features,18rHGxr6QDiPieSTo7cUGL,spotify:track:18rHGxr6QDiPieSTo7cUGL,https://api.spotify.com/v1/tracks/18rHGxr6QDiPieSTo7cUGL,https://api.spotify.com/v1/audio-analysis/18rHGxr6QDiPieSTo7cUGL,216441,4,2
0.837,0.944,0,-6.516,1,0.352,0.108,8.46e-05,0.107,0.681,169.975,audio_features,7AOJcugo17Kr1WUheSI6Oq,spotify:track:7AOJcugo17Kr1WUheSI6Oq,https://api.spotify.com/v1/tracks/7AOJcugo17Kr1WUheSI6Oq,https://api.spotify.com/v1/audio-analysis/7AOJcugo17Kr1WUheSI6Oq,157059,4,3
